file,scoring_tool_score,photoscore_dotnet_score,abs_diff,pct_diff,scoring_tool_ms,photoscore_dotnet_ms
0001_original.jpg,6.4887,6.5839,0.09520000000000017,1.4671659962704422,1089.2478340101661,1360.9485409979243
0054_original.jpg,7.1823,7.2141,0.031800000000000495,0.4427551063030018,361.67254199972376,762.3072499991395
0072_original.jpg,6.3097,6.2311,0.07860000000000067,1.2457010634420125,281.9909999961965,759.0347090008436
0073_original.jpg,6.7099,6.6762,0.03370000000000051,0.5022429544404612,295.7065410009818,824.0802090003854
0076_original.jpg,7.4035,7.4564,0.05290000000000017,0.7145269129465815,297.63970800559036,727.1928749978542
0077_original.jpg,7.3349,7.2841,0.05080000000000062,0.6925793126014073,289.4957500102464,723.2253330003005
0080_original.jpg,6.6785,6.582,0.09649999999999981,1.4449352399490876,298.57437500322703,727.0854579983279
0107_original.jpg,7.5318,7.6152,0.08340000000000014,1.1073050266868496,293.00550000334624,723.0771670001559
0214_original.jpg,6.9819,6.9838,0.0018999999999991246,0.02721322276169989,287.2844579978846,725.6984170089709
0216_original.jpg,6.9039,6.7508,0.15310000000000024,2.2175871608800857,283.2042500085663,718.8774999958696
0246_original.jpg,7.4724,7.3826,0.08980000000000032,1.2017557946576778,314.4834999984596,744.0283329924569
DSCF0182.JPG,7.8719,7.8255,0.04640000000000022,0.5894383820932712,286.09991699340753,736.4979999983916
DSCF0285.JPG,7.8507,7.8231,0.027599999999999625,0.35156100729870743,280.905834006262,696.1663340043742
DSCF0289.JPG,7.6576,7.619,0.038600000000000634,0.5040743836188967,271.1588750098599,695.9992500051158
DSCF0357.JPG,7.6521,7.5928,0.059299999999999464,0.7749506671371188,303.4232080099173,736.7497080122121
DSCF8470.JPG,7.4338,7.4004,0.03339999999999943,0.44929914713873703,274.5737079967512,691.8030000088038
DSCF9686.JPG,7.4854,7.4197,0.06570000000000054,0.8777086060865222,282.02933399006724,712.689958003466
DSCF9687.JPG,7.7039,7.6872,0.01670000000000016,0.2167733226028396,280.9699589997763,727.8946250007721
DSCF9691.JPG,7.3363,7.2061,0.13019999999999943,1.7747365838365312,300.37187499692664,704.6905829920433
kws2506161030_063.jpg,7.6088,7.6478,0.03900000000000059,0.5125643991168198,309.92325000988785,752.9852500010747
